"Sampling.Event.ID","Julian","Site","SiteCode","Height","Fescue.Treatment","Agapostemon texanus","Agapostemon virescens","Apis mellifera","Augochlorella aurata","Calliopsis nebraskensis","Ceratina dupla","Eucera hamata","Halictus ligatus","Lasioglossum Dialictus","Lasioglossum Evylaeus","Lasioglossum Hemihalictus","Melissodes bimaculata","Melissodes boltoniae","Melissodes communis","Melissodes trinodis","Osmia lignaria","Osmia pumila","Abundance","Species.Density"
2,149,"STE","STE-N","High","Spr",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3,149,"GIL","GIL-C","High","SnS",0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,5,3
3,149,"RIS","RIS-S","Low","Ref",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2
4,149,"GIL","GIL-C","Low","SnS",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2
4,149,"RIS","RIS-S","High","Ref",0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,5,4
5,151,"KLN","KLN-E","Low","Ref",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,151,"LTR","LTR-C","High","Spr",0,0,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0,7,4
7,151,"LTR","LTR-C","Low","Spr",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
8,151,"GIL","GIL-S","High","Con",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2
9,161,"STE","STE-W","High","Con",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3
9,161,"STE","STE-W","Low","Con",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
10,161,"GIL","GIL-N","High","Spr",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2
11,161,"LTR","LTR-E","High","SnS",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
11,161,"LTR","LTR-E","Low","SnS",0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,7,3
13,172,"PYN","PYN-N","High","Ref",0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,7,2
14,172,"STE","STE-S","High","SnS",0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,9,3
15,172,"LTR","LTR-W","High","Con",0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,4,3
15,172,"LTR","LTR-W","Low","Con",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
17,173,"RIS","RIS-S","High","Ref",0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,3
17,173,"RIS","RIS-S","Low","Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
18,173,"STE","STE-N","High","Spr",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2
20,173,"GIL","GIL-C","High","SnS",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
21,185,"KLN","KLN-E","High","Ref",6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,3
21,185,"KLN","KLN-E","Low","Ref",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
22,185,"LTR","LTR-C","High","Spr",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2
22,185,"LTR","LTR-C","Low","Spr",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
24,185,"GIL","GIL-N","High","Spr",1,2,0,4,0,0,0,7,3,0,0,0,1,0,0,0,0,18,6
24,185,"GIL","GIL-N","Low","Spr",0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,6,4
25,185,"LTR","LTR-E","High","SnS",1,1,0,4,0,1,0,11,3,0,0,0,0,0,0,0,0,21,6
25,185,"LTR","LTR-E","Low","SnS",0,0,0,17,1,0,0,1,4,0,0,0,0,0,0,1,0,24,5
26,185,"STE","STE-W","High","Con",0,0,0,3,0,0,0,2,6,0,0,0,0,0,0,0,0,11,3
27,197,"STE","STE-S","High","SnS",0,0,0,2,1,0,0,0,12,0,0,10,0,0,0,0,0,25,4
27,197,"STE","STE-S","Low","SnS",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2
28,197,"LTR","LTR-W","High","Con",1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4
28,197,"LTR","LTR-W","Low","Con",0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,8,3
29,197,"PYN","PYN-N","High","Ref",0,1,0,7,0,0,0,1,6,0,0,0,0,0,0,0,0,15,4
29,197,"PYN","PYN-N","Low","Ref",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30,204,"RIS","RIS-S","High","Ref",2,3,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,10,6
31,204,"GIL","GIL-C","High","SnS",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2
31,204,"GIL","GIL-C","Low","SnS",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
32,204,"STE","STE-N","High","Spr",1,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,7,6
32,204,"STE","STE-N","Low","Spr",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
33,207,"KLN","KLN-E","High","Ref",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
34,207,"GIL","GIL-S","High","Con",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
35,207,"LTR","LTR-C","High","Spr",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
35,207,"LTR","LTR-C","Low","Spr",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,209,"LTR","LTR-E","High","SnS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
36,209,"LTR","LTR-E","Low","SnS",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
37,209,"GIL","GIL-N","High","Spr",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1
38,209,"STE","STE-W","High","Con",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2
39,209,"STE","STE-S","High","SnS",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,209,"LTR","LTR-W","High","Con",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
40,209,"LTR","LTR-W","Low","Con",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
