"Sampling.Event.ID","Julian","Site","SiteCode","Height","Fescue.Treatment","Agapostemon.texanus","Agapostemon.virescens","Apis.mellifera","Augochlorella.aurata","Calliopsis.nebraskensis","Ceratina.dupla","Eucera.hamata","Halictus.ligatus","Lasioglossum.Dialictus","Lasioglossum.Evylaeus","Lasioglossum.Hemihalictus","Melissodes.bimaculata","Melissodes.boltoniae","Melissodes.communis","Melissodes.trinodis","Osmia.lignaria","Osmia.pumila","Abundance","Species.Density","Diversity"
2,149,"STE","STE-N","High","Spr",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3,149,"GIL","GIL-C","High","SnS",0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,5,3,0.950270539233235
3,149,"RIS","RIS-S","Low","Ref",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0.636514168294813
4,149,"GIL","GIL-C","Low","SnS",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0.636514168294813
4,149,"RIS","RIS-S","High","Ref",0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,5,4,1.33217904021012
5,151,"KLN","KLN-E","Low","Ref",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7,151,"LTR","LTR-C","High","Spr",0,0,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0,7,4,1.27703425946614
7,151,"LTR","LTR-C","Low","Spr",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
8,151,"GIL","GIL-S","High","Con",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0.693147180559945
9,161,"STE","STE-W","High","Con",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3,1.09861228866811
9,161,"STE","STE-W","Low","Con",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
10,161,"GIL","GIL-N","High","Spr",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0.636514168294813
11,161,"LTR","LTR-E","High","SnS",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.636514168294813
11,161,"LTR","LTR-E","Low","SnS",0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,7,3,1.07899220787758
13,171,"PYN","PYN-N","High","Ref",0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,7,2,0.598269588585257
14,171,"STE","STE-S","High","SnS",0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,9,3,0.848685557726417
15,171,"LTR","LTR-W","High","Con",0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,4,3,1.03972077083992
15,171,"LTR","LTR-W","Low","Con",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
17,173,"RIS","RIS-S","High","Ref",0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,3,1.03972077083992
17,173,"RIS","RIS-S","Low","Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
18,173,"STE","STE-N","High","Spr",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0.693147180559945
20,173,"GIL","GIL-C","High","SnS",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
21,185,"KLN","KLN-E","High","Ref",6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,3,0.911017539712563
21,185,"KLN","KLN-E","Low","Ref",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
22,185,"LTR","LTR-C","High","Spr",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0.636514168294813
22,185,"LTR","LTR-C","Low","Spr",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
24,185,"GIL","GIL-N","High","Spr",1,2,0,4,0,0,0,7,3,0,0,0,1,0,0,0,0,18,6,1.56544510706333
24,185,"GIL","GIL-N","Low","Spr",0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,6,4,1.242453324894
25,185,"LTR","LTR-E","High","SnS",1,1,0,4,0,1,0,11,3,0,0,0,0,0,0,0,0,21,6,1.36748137528219
25,185,"LTR","LTR-E","Low","SnS",0,0,0,17,1,0,0,1,4,0,0,0,0,0,0,1,0,24,5,0.940145318121477
26,185,"STE","STE-W","High","Con",0,0,0,3,0,0,0,2,6,0,0,0,0,0,0,0,0,11,3,0.994923632571775
27,197,"STE","STE-S","High","SnS",0,0,0,2,1,0,0,0,12,0,0,10,0,0,0,0,0,25,4,1.04963482132755
27,197,"STE","STE-S","Low","SnS",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0.636514168294813
28,197,"LTR","LTR-W","High","Con",1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,1.38629436111989
28,197,"LTR","LTR-W","Low","Con",0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,8,3,0.735621939758795
29,197,"PYN","PYN-N","High","Ref",0,1,0,7,0,0,0,1,6,0,0,0,0,0,0,0,0,15,4,1.08325501051851
29,197,"PYN","PYN-N","Low","Ref",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30,204,"RIS","RIS-S","High","Ref",2,3,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,10,6,1.69574253416963
31,204,"GIL","GIL-C","High","SnS",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0.693147180559945
31,204,"GIL","GIL-C","Low","SnS",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
32,204,"STE","STE-N","High","Spr",1,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,7,6,1.74786809746676
32,204,"STE","STE-N","Low","Spr",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
33,207,"KLN","KLN-E","High","Ref",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.693147180559945
34,207,"GIL","GIL-S","High","Con",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
35,207,"LTR","LTR-C","High","Spr",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0.693147180559945
35,207,"LTR","LTR-C","Low","Spr",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
36,209,"LTR","LTR-E","High","SnS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
36,209,"LTR","LTR-E","Low","SnS",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
37,209,"GIL","GIL-N","High","Spr",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0
38,209,"STE","STE-W","High","Con",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0.693147180559945
39,209,"STE","STE-S","High","SnS",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
40,209,"LTR","LTR-W","High","Con",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
40,209,"LTR","LTR-W","Low","Con",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
