"Site","SiteCode","Fescue.Treatment","Agapostemon.texanus","Agapostemon.virescens","Apis.mellifera","Augochlorella.aurata","Calliopsis.nebraskensis","Ceratina.dupla","Eucera.hamata","Halictus.ligatus","Lasioglossum.Dialictus","Lasioglossum.Evylaeus","Lasioglossum.Hemihalictus","Melissodes.bimaculata","Melissodes.boltoniae","Melissodes.communis","Melissodes.trinodis","Osmia.lignaria","Osmia.pumila"
"GIL","GIL-C","SnS",NA,NA,NA,2,NA,2,NA,1,6,NA,NA,NA,1,NA,NA,NA,NA
"GIL","GIL-N","Spr",1,4,NA,5,NA,4,NA,10,4,NA,NA,NA,1,NA,NA,NA,NA
"GIL","GIL-S","Con",NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"KLN","KLN-E","Ref",7,6,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"LTR","LTR-C","Spr",NA,1,NA,11,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"LTR","LTR-E","SnS",2,3,NA,25,1,1,NA,12,9,NA,2,NA,NA,NA,1,1,NA
"LTR","LTR-W","Con",1,NA,NA,9,NA,NA,1,1,4,1,NA,NA,NA,1,1,NA,NA
"PYN","PYN-N","Ref",NA,1,NA,10,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA
"RIS","RIS-S","Ref",2,3,NA,6,NA,3,NA,3,4,1,NA,NA,NA,NA,NA,NA,1
"STE","STE-N","Spr",1,1,1,NA,NA,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"STE","STE-S","SnS",NA,NA,NA,6,1,1,NA,NA,20,NA,NA,10,NA,NA,NA,NA,NA
"STE","STE-W","Con",NA,1,NA,3,NA,NA,2,2,8,NA,NA,1,NA,NA,NA,NA,NA
