"Bee.Species","0","1","2"
"Agapostemon.texanus",3,1,1
"Andrena.commoda",NA,NA,1
"Andrena.cressonii",NA,1,NA
"Andrena.geranii",2,NA,NA
"Apis.mellifera",NA,NA,1
"Bombus.auricomus",NA,NA,2
"Bombus.pensylvanicus",1,1,2
"Calliopsis.andreniformis",5,3,NA
"Coelioxys.rufitarsis",NA,1,NA
"Eucera.hamata",NA,1,2
"Heriades.carinatus",2,NA,NA
"Hoplitis.pilosifrons",1,NA,2
"Hoplitis.producta",4,4,3
"Hoplitis.truncata",1,NA,NA
"Hylaeus.affinis",NA,1,NA
"Megachile.brevis",NA,NA,2
"Megachile.gemula",NA,1,NA
"Megachile.montivaga",1,1,NA
"Melissodes.bimaculata",1,NA,2
"Melissodes.boltoniae",1,NA,NA
"Nomada.articulata",NA,1,NA
"Osmia.cordata",1,NA,NA
"Osmia.pumila",1,NA,NA
"Osmia.simillima",NA,NA,1
"Sphecodes.clematidis",NA,1,NA
"Stelis.lateralis",NA,1,NA
